financial_year,conventional_gbp_millions,index_linked_gbp_millions,total_gbp_millions
2027-2028,149786,15164,164950
2028-2029,115987,34629,150616
2029-2030,165944,0,165944
2030-2031,116398,5370,121768
2031-2032,120419,20105,140524
2032-2033,98907,15265,114172
2033-2034,70267,33569,103836
2034-2035,111491,8791,120282
2035-2036,98278,21202,119480
2036-2037,45657,14688,60345
2037-2038,62443,13730,76173
2038-2039,44085,31609,75694
2039-2040,56425,14949,71374
2040-2041,50202,0,50202
2041-2042,32408,12746,45154
2042-2043,21129,13352,34481
2043-2044,60983,16036,77019
2044-2045,27256,14915,42171
2045-2046,22195,13631,35826
2046-2047,19354,0,19354
2047-2048,24163,12500,36663
2048-2049,28787,12058,40845
2049-2050,17611,21228,38839
2050-2051,30633,12581,43214
2051-2052,28014,13177,41191
2052-2053,23053,0,23053
2053-2054,57140,0,57140
2054-2055,55097,15329,70426
2055-2056,30607,10858,41465
2056-2057,0,7415,7415
2057-2058,29109,11003,40112
2058-2059,0,0,0
2059-2060,22473,0,22473
2060-2061,0,0,0
2061-2062,24991,12630,37621
2062-2063,0,0,0
2063-2064,18667,0,18667
2064-2065,0,0,0
2065-2066,19225,8312,27537
2066-2067,0,0,0
2067-2068,0,12749,12749
2068-2069,19150,0,19150
2069-2070,0,0,0
2070-2071,0,0,0
2071-2072,22980,0,22980
2072-2073,0,5869,5869
2073-2074,10500,0,10500
